1,,1,,,,,アクアブルーハート,,牝,3,*,国分優作,54,  ,60.6,428,  0, , 91,,T2000,中, 65,+,T1400,中, 69,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,サダムエルドラド,,牡,3,*,北村友一,56,  ,19.4,502,+ 8, , 99,+,T1600,中, 72,|,T1800,後, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,アズリーニ,,牝,3,,松田大作,54,  ,57.4,442,  0, , 90,,T1200,後, 65,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,キングダッシュ,,牡,3,*,幸英明,56,  ,20.5,484,- 6, ,108,,T1800,先, 77,|,D1800,後, 50,+,T1800,先, 77,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,ピースオブジャパン,,牡,3,*,藤岡康太,56,  ,7.3,476,+ 2, ,122,,T1800,中, 81,|,T1800,中, 82,|,T1600,先, 72,|,T1800,先, 77,|,T1800,先, 82,|,T1600,後, 79,|,T1600,先, 81,|,T1600,先, 80,|,T1600,先, 77,+,T1800,先, 77,|,T1400,先, 79,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ライゼリート,,牝,3,*,大野拓弥,54,  ,41.9,396,- 6, , 90,+,T1600,後, 75,+,T1800,中, 77,+,T1500,中, 68,|,T1500,後, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,テイエムマンゲツ,,牝,3,*,松山弘平,54,  ,68.2,452,-10, ,103,,T1000,中, 69,+,T1200,中, 79,|,T1200,逃, 78,|,T1200,先, 79,|,T1600,先, 64,|,D1200,中, 61,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,メモリーデシジョン,,セ,3,,古川吉洋,56,  ,109.1,464,- 2, , 95,,D1150,中, 71,+,D1800,中, 53,|,T1800,先, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,クロイツェル,,牡,3,*,池添謙一,56,  ,3.6,484,+ 8, ,107,+,D1800,中, 76,|,T1800,中, 71,|,T2000,先, 76,+,T2000,先, 81,|,T2000,逃, 77,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,サンチェロキー,,牡,3,*,田中博康,56,  ,45.4,452,  0, ,114,,T1800,中, 80,|,T2000,中, 75,|,T1600,後, 74,|,T1800,中, 77,+,T1400,後, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,アドマイヤロワ,,牡,3,*,藤岡佑介,56,  ,8.7,472,  0, ,116,,T1800,中, 78,|,T1600,中, 76,+,T1600,中, 76,+,T1600,中, 66,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,クインズメンテ,,牝,3,*,義英真,51,▲,545.6,428,-32, , 91,+,D1400,先, 57,|,D1400,後, 56,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,スターペスカンタ,,牡,3,,岡田祥嗣,56,  ,10.9,502,- 6, ,111,,T2400,先, 70,|,T2000,後, 78,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,15,,,,,ルートヴィヒコード,,牡,3,,藤田伸二,56,  ,5.1,468,  0, ,124,,T1800,先, 81,+,T2200,先, 69,|,T2200,先, 80,|,T2000,中, 74,|,T2000,中, 73,|,T1800,後, 67,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ミラクルナイト,,牡,3,,水口優也,56,  ,272.8,472,  0, , 95,,T1800,中, 69,|,T1400,中, 75,|,T1400,中, 78,|,D1800,中, 63,|,D1800,中, 50,|,D1800,後, 56,|,T1600,後, 64,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,17,,,,,リプカ,,牝,3,,加藤祥太,51,▲,28.7,376,  0, ,104,,T1600,中, 79,+,T1800,後, 69,|,T2000,中, 70,+,T1800,中, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,18,,,,,レッドペルル,,牝,3,*,浜中俊,54,  ,5.2,464,  0, ,103,,T2000,後, 72,|,T1800,後, 75,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
