"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"14","14","118.99","11","y=4.15x+73.36","114","117","94.1","17.67","94.1","117","60","136.66","101.32"
"4","4","116.39","22","y=1.62x+80.77","113","107","102","13.11","97.77","116","64","129.5","103.27"
"6","6","114.64","17","y=1.97x+81.10","106","102","107","11.31","96.88","110","70","125.95","103.33"
"1","1","113.51","8","y=4.02x+81.37","110","109","101","10.17","95.43","110","80","123.68","103.33"
"2","2","112.67","11","y=2.35x+86.77","98","110","112","8.98","98.55","112","82","121.65","103.69"
"16","16","112.46","35","y=0.52x+94.40","109","110","105","6.7","103.17","113","87","119.16","105.75"
"7","7","109.82","36","y=0.56x+89.63","109","109","88","9.34","99.44","113","71","119.16","100.47"
"9","9","108.72","35","y=0.58x+88.49","93","101","106","8.6","98.31","108","78","117.31","100.12"
"15","15","107.73","21","y=1.00x+86.70","96","105","107","7.65","96.71","107","77","115.38","100.08"
"8","8","107.29","17","y=1.37x+84.08","113","111","106","11.45","95","113","59","118.73","95.84"
"12","12","106.79","25","y=1.08x+79.81","94","79","108","10.85","92.76","108","72","117.64","95.94"
"13","13","105.51","25","y=1.52x+67.59","87","105","110","13.5","85.79","110","59","119.01","92.01"
"5","5","105.13","21","y=0.38x+97.12","98","109","94","6.95","100.94","117","83","112.08","98.19"
"11","11","103.17","23","y=0.17x+99.25","105","107","101.13","5.19","101.13","112","90","108.36","97.98"
"10","10","100.48","20","y=0.59x+88.61","90","107","98","7.21","94.25","107","79","107.69","93.27"
"3","3","86","10","y=1.24x+73.64","79","82","82","8.9","79.2","93","61","94.9","77.1"
