"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","75.03","7","y=0.06x+74.63","74.80","73.00","77.00","1.35","74.80","77.00","73.00","76.38","73.68"
"2","86.10","16","y=-0.04x+86.74","84.00","86.00","89.00","5.10","86.44","96.00","71.00","91.20","81.00"
"3","88.68","11","y=1.23x+75.15","84.00","82.00","68.00","11.00","81.30","98.00","64.00","99.68","77.68"
"4","77.92","26","y=0.16x+73.78","70.00","80.00","87.00","6.69","75.77","90.00","64.00","84.61","71.23"
"5","79.00","22","y=0.04x+78.13","81.00","77.00","85.00","4.56","78.55","88.00","67.00","83.56","74.44"
"6","79.54","15","y=1.64x+54.90","70.00","61.00","80.00","9.71","66.40","81.00","53.00","89.25","69.84"
"7","86.38","9","y=1.25x+75.13","86.00","87.00","83.00","5.42","80.13","87.00","71.00","91.80","80.95"
"8","90.11","32","y=0.18x+84.46","88.00","94.00","94.00","4.33","87.19","94.00","76.00","94.44","85.77"
"9","69.73","18","y=0.38x+62.93","73.00","66.14","69.00","5.58","66.14","76.00","51.00","75.31","64.15"
"10","84.68","15","y=-0.01x+84.78","75.00","86.00","90.00","4.12","84.73","90.00","75.00","88.80","80.55"
"11","90.24","14","y=1.20x+73.42","90.00","82.00","85.00","8.44","81.23","91.00","66.00","98.67","81.80"
"12","81.80","27","y=0.38x+71.66","73.00","87.00","77.00","6.98","76.54","91.00","58.00","88.78","74.81"
"13","78.50","4","y=1.50x+72.50","86.00","64.00","70.00","8.41","74.75","86.00","64.00","86.91","70.09"
"14","94.44","11","y=2.07x+71.64","91.00","91.00","93.00","9.31","82.00","93.00","59.00","103.75","85.12"
"15","77.03","19","y=0.50x+67.61","80.00","80.00","72.07","5.48","72.07","80.00","61.00","82.51","71.55"
