"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"4","4","95.73","6","y=2.83x+78.76","93","90","90","5.27","85.83","93","80","101.01","90.46"
"7","7","90.8","6","y=4.80x+62.00","89","81","76","11.6","74","89","51","102.4","79.2"
"1","1","86","4","y=3.10x+73.60","82","81","77","3.56","78.25","82","73","89.56","82.44"
"5","5","85.14","8","y=1.64x+72.00","85","77","80","4.63","77.75","85","68","89.77","80.51"
"3","3","85","3","y=2.00x+79.00","82","83","78","2.16","81","83","78","87.16","82.84"
"6","6","82","2","y=1.00x+80.00","81","80","0",".5","80.5","81","80","82.5","81.5"
"2","2","62.33","3","y=-4.00x+74.33","60","83","68","9.53","70.33","83","60","71.87","52.8"
