"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"1","1","105.09","25","y=1.14x+76.55","92","100","100","10.33","90.25","105","65","115.42","94.76"
"5","5","101.69","18","y=1.12x+81.54","99","100","85","7.47","91.06","102","78","109.16","94.22"
"9","9","100.56","21","y=1.26x+74.13","95","100","93","9.29","86.71","100","71","109.85","91.26"
"2","2","96.48","16","y=2.42x+57.82","84","91","90","12.66","75.94","91","47","109.14","83.81"
"8","8","96.47","59","y=0.35x+75.81","90","87","96","8","85.97","98","58","104.48","88.47"
"3","3","95.53","26","y=0.12x+92.44","98","83","99","8.67","93.92","106","76","104.2","86.86"
"13","13","95.03","9","y=3.38x+64.58","88","93","89","10.91","78.11","93","62","105.94","84.12"
"7","7","93.83","17","y=1.60x+66.71","92","89","84","9.56","79.47","96","61","103.39","84.27"
"14","14","93","4","y=4.70x+74.20","91","82","74","6.3","81.25","91","74","99.3","86.7"
"6","6","91.29","7","y=2.07x+76.79","87","87","87","4.57","83","87","76","95.85","86.72"
"11","11","89.05","26","y=0.57x+74.16","88","87","89","6.28","81.32","91","65","95.33","82.76"
"10","10","85.53","26","y=0.30x+77.69","98","81.46","84","6.8","81.46","98","69","92.33","78.72"
"12","12","85.36","46","y=0.19x+76.47","75","77","88","7.99","80.82","94","61","93.35","77.37"
"15","15","83.19","13","y=1.46x+64.26","74","63","70","12.9","73","99","53","96.09","70.3"
"16","16","73.49","16","y=0.80x+60.64","66.67","66.67","66.67","7.07","66.67","77","56","80.57","66.42"
"4","4","70.05","44","y=0.10x+65.60","86","67.78","67.78","4.07","67.78","86","50","74.12","65.99"
