"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","113.51","8","y=4.02x+81.37","110.00","109.00","101.00","10.17","95.43","110.00","80.00","123.68","103.33"
"2","112.67","11","y=2.35x+86.77","98.00","110.00","112.00","8.98","98.55","112.00","82.00","121.65","103.69"
"3","86.00","10","y=1.24x+73.64","79.00","82.00","82.00","8.90","79.20","93.00","61.00","94.90","77.10"
"4","116.39","22","y=1.62x+80.77","113.00","107.00","102.00","13.11","97.77","116.00","64.00","129.50","103.27"
"5","105.13","21","y=0.38x+97.12","98.00","109.00","94.00","6.95","100.94","117.00","83.00","112.08","98.19"
"6","114.64","17","y=1.97x+81.10","106.00","102.00","107.00","11.31","96.88","110.00","70.00","125.95","103.33"
"7","109.82","36","y=0.56x+89.63","109.00","109.00","88.00","9.34","99.44","113.00","71.00","119.16","100.47"
"8","107.29","17","y=1.37x+84.08","113.00","111.00","106.00","11.45","95.00","113.00","59.00","118.73","95.84"
"9","108.72","35","y=0.58x+88.49","93.00","101.00","106.00","8.60","98.31","108.00","78.00","117.31","100.12"
"10","100.48","20","y=0.59x+88.61","90.00","107.00","98.00","7.21","94.25","107.00","79.00","107.69","93.27"
"11","103.17","23","y=0.17x+99.25","105.00","107.00","101.13","5.19","101.13","112.00","90.00","108.36","97.98"
"12","106.79","25","y=1.08x+79.81","94.00","79.00","108.00","10.85","92.76","108.00","72.00","117.64","95.94"
"13","105.51","25","y=1.52x+67.59","87.00","105.00","110.00","13.50","85.79","110.00","59.00","119.01","92.01"
"14","118.99","11","y=4.15x+73.36","114.00","117.00","94.10","17.67","94.10","117.00","60.00","136.66","101.32"
"15","107.73","21","y=1.00x+86.70","96.00","105.00","107.00","7.65","96.71","107.00","77.00","115.38","100.08"
"16","112.46","35","y=0.52x+94.40","109.00","110.00","105.00","6.70","103.17","113.00","87.00","119.16","105.75"
