"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","105.09","25","y=1.14x+76.55","92.00","100.00","100.00","10.33","90.25","105.00","65.00","115.42","94.76"
"2","92.62","16","y=1.74x+64.85","84.00","91.00","90.00","10.22","77.87","91.00","56.00","102.84","82.39"
"3","95.53","26","y=0.12x+92.44","98.00","83.00","99.00","8.67","93.92","106.00","76.00","104.20","86.86"
"4","72.03","44","y=0.09x+68.06","86.00","70.00","70.00","2.91","70.00","86.00","64.00","74.94","69.12"
"5","101.69","18","y=1.12x+81.54","99.00","100.00","85.00","7.47","91.06","102.00","78.00","109.16","94.22"
"6","91.29","7","y=2.07x+76.79","87.00","87.00","87.00","4.57","83.00","87.00","76.00","95.85","86.72"
"7","93.83","17","y=1.60x+66.71","92.00","89.00","84.00","9.56","79.47","96.00","61.00","103.39","84.27"
"8","96.47","59","y=0.35x+75.81","90.00","87.00","96.00","8.00","85.97","98.00","58.00","104.48","88.47"
"9","100.56","21","y=1.26x+74.13","95.00","100.00","93.00","9.29","86.71","100.00","71.00","109.85","91.26"
"10","85.53","26","y=0.30x+77.69","98.00","81.46","84.00","6.80","81.46","98.00","69.00","92.33","78.72"
"11","89.05","26","y=0.57x+74.16","88.00","87.00","89.00","6.28","81.32","91.00","65.00","95.33","82.76"
"12","85.36","46","y=0.19x+76.47","75.00","77.00","88.00","7.99","80.82","94.00","61.00","93.35","77.37"
"13","95.03","9","y=3.38x+64.58","88.00","93.00","89.00","10.91","78.11","93.00","62.00","105.94","84.12"
"14","93.00","4","y=4.70x+74.20","91.00","82.00","74.00","6.30","81.25","91.00","74.00","99.30","86.70"
"15","83.19","13","y=1.46x+64.26","74.00","63.00","70.00","12.90","73.00","99.00","53.00","96.09","70.30"
"16","73.49","16","y=0.80x+60.64","66.67","66.67","66.67","7.07","66.67","77.00","56.00","80.57","66.42"
