1,,1,,,,,メイショウソウソウ,,牝,3,*,鮫島良太,54,  , ,105,,D1800,中, 69,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ノースピーディング,,セ,3,*,北村友一,56,  , , 96,,T1600,後, 68,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,デンコウインパルス,,牡,3,*,藤田伸二,56,  , ,110,,T2000,先, 77,=,T2200,中, 75,|,T2000,中, 74,|,T2000,中, 81,|,T1600,後, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,サラトガスピリット,,牡,3,*,藤岡康太,56,  , ,120,,T2200,中, 78,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,ケルンダッシュ,,牡,3,,国分恭介,56,  , ,119,,D1800,先, 78,+,T2000,中, 78,|,T2000,中, 81,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,シビックハート,,牝,3,,高倉稜,54,  , ,104,,T2000,中, 76,|,T1800,後, 68,|,T1800,後, 77,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,,,,,スプランドゥール,,牡,3,*,幸英明,56,  , ,116,,T2400,先, 77,+,T2200,後, 72,|,T1800,後, 67,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,ダンツエイカン,,牡,3,,松山弘平,56,  , ,101,,T2200,中, 66,|,T2000,中, 64,+,T2000,先, 67,|,T2000,中, 67,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,,,,,トーコーリバース,,牡,3,*,川田将雅,56,  , , 96,+,T2000,後, 64,|,T2000,先, 76,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ユキヒョウ,,牡,3,,岡田祥嗣,56,  , ,109,,T2400,中, 76,|,T1800,後, 75,|,T1800,後, 70,|,D1800,先, 62,|,T1800,中, 77,|,T1800,中, 77,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,チャパラ,,牡,3,*,藤岡佑介,56,  , ,117,,T2200,中, 81,|,T1800,中, 78,|,T1800,先, 79,|,T1800,逃, 74,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,カネトシエトワール,,牡,3,*,義英真,53,▲, , 86,,D1800,後, 59,|,D1800,後, 49,|,D1800,後, 59,|,D1800,中, 48,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,,,,,オメガレイノワール,,牡,3,*,鮫島克駿,53,▲, , 93,,T2200,後, 64,|,T2400,先, 68,+,D1800,中, 65,|,T1800,中, 73,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,ゼットマーヴェル,,牡,3,*,岩崎翼,54,△, , 91,,D1800,後, 57,|,D1800,中, 42,+,D1800,後, 62,|,T2000,後, 59,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
