"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","85.48","29","y=0.33x+75.82","83.00","84.00","84.00","6.29","80.48","94.00","65.00","91.77","79.19"
"2","94.57","8","y=1.90x+79.33","91.00","89.00","90.00","4.72","86.00","91.00","77.00","99.29","89.85"
"3","95.28","9","y=2.37x+73.98","91.00","85.00","86.00","7.70","83.44","92.00","70.00","102.98","87.57"
"4","84.83","9","y=1.77x+68.93","77.00","89.00","80.00","6.18","76.00","89.00","66.00","91.02","78.65"
"5","93.71","7","y=2.43x+76.71","86.00","82.00","99.00","8.40","84.00","99.00","74.00","102.11","85.31"
"6","79.28","15","y=0.24x+75.63","77.00","87.00","79.00","3.77","77.33","87.00","69.00","83.05","75.50"
"7","84.25","24","y=0.40x+74.59","74.00","91.00","79.00","7.00","79.22","93.00","57.00","91.25","77.25"
"8","83.64","8","y=2.62x+62.65","87.00","85.00","71.83","10.74","71.83","87.00","56.00","94.38","72.90"
"9","90.83","20","y=0.87x+73.44","84.00","82.00","84.00","7.01","81.70","96.00","66.00","97.84","83.81"
"10","86.37","12","y=0.29x+82.83","84.00","87.00","90.00","6.82","84.45","93.00","69.00","93.20","79.55"
"11","83.00","13","y=0.88x+71.57","81.00","82.00","83.00","6.38","76.85","85.00","64.00","89.38","76.62"
"12","92.00","10","y=1.05x+81.45","89.00","92.00","83.00","5.64","86.20","93.00","75.00","97.64","86.36"
"13","81.13","6","y=0.80x+76.33","79.00","81.00","79.00","1.60","78.33","81.00","76.00","82.73","79.53"
"14","71.73","12","y=-1.00x+83.77","72.00","65.00","62.00","8.27","78.25","90.00","62.00","79.99","63.46"
"15","82.70","16","y=1.30x+61.85","80.00","81.00","79.00","8.75","71.63","81.00","52.00","91.45","73.95"
"16","83.76","15","y=1.23x+65.33","84.00","86.00","80.00","6.50","73.93","86.00","60.00","90.25","77.26"
"17","77.26","13","y=0.43x+71.61","88.00","74.22","74.22","5.26","74.22","88.00","64.00","82.52","72.01"
"18","81.22","15","y=0.31x+76.56","86.00","83.00","88.00","8.61","78.73","88.00","56.00","89.83","72.61"
