"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"3","3","95.28","9","y=2.37x+73.98","91","85","86","7.7","83.44","92","70","102.98","87.57"
"2","2","94.57","8","y=1.90x+79.33","91","89","90","4.72","86","91","77","99.29","89.85"
"5","5","93.71","7","y=2.43x+76.71","86","82","99","8.4","84","99","74","102.11","85.31"
"12","12","92","10","y=1.05x+81.45","89","92","83","5.64","86.2","93","75","97.64","86.36"
"9","9","90.83","20","y=0.87x+73.44","84","82","84","7.01","81.7","96","66","97.84","83.81"
"10","10","86.37","12","y=0.29x+82.83","84","87","90","6.82","84.45","93","69","93.2","79.55"
"1","1","85.48","29","y=0.33x+75.82","83","84","84","6.29","80.48","94","65","91.77","79.19"
"4","4","84.83","9","y=1.77x+68.93","77","89","80","6.18","76","89","66","91.02","78.65"
"7","7","84.25","24","y=0.40x+74.59","74","91","79","7","79.22","93","57","91.25","77.25"
"16","16","83.76","15","y=1.23x+65.33","84","86","80","6.5","73.93","86","60","90.25","77.26"
"8","8","83.64","8","y=2.62x+62.65","87","85","71.83","10.74","71.83","87","56","94.38","72.9"
"11","11","83","13","y=0.88x+71.57","81","82","83","6.38","76.85","85","64","89.38","76.62"
"15","15","82.7","16","y=1.30x+61.85","80","81","79","8.75","71.63","81","52","91.45","73.95"
"18","18","81.22","15","y=0.31x+76.56","86","83","88","8.61","78.73","88","56","89.83","72.61"
"13","13","81.13","6","y=0.80x+76.33","79","81","79","1.6","78.33","81","76","82.73","79.53"
"6","6","79.28","15","y=0.24x+75.63","77","87","79","3.77","77.33","87","69","83.05","75.5"
"17","17","77.26","13","y=0.43x+71.61","88","74.22","74.22","5.26","74.22","88","64","82.52","72.01"
"14","14","71.73","12","y=-1.00x+83.77","72","65","62","8.27","78.25","90","62","79.99","63.46"
