"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","88.00","2","y=2.00x+84.00","86.00","84.00","0.00","1.00","85.00","86.00","84.00","89.00","87.00"
"2","83.00","7","y=1.89x+69.75","85.00","84.00","84.00","11.21","75.43","85.00","55.00","94.21","71.79"
"3","90.00","4","y=1.30x+84.80","87.00","90.00","86.00","2.17","86.75","90.00","84.00","92.17","87.83"
"4","85.50","4","y=0.40x+83.90","86.00","83.00","85.00","1.12","84.50","86.00","83.00","86.62","84.38"
"5","88.67","6","y=1.57x+79.24","84.00","78.00","92.00","7.69","83.17","93.00","71.00","96.36","80.98"
"6","96.73","6","y=3.97x+72.90","92.00","91.00","86.00","8.15","82.83","92.00","68.00","104.89","88.58"
"7","95.75","8","y=2.25x+77.75","94.00","87.00","90.00","5.81","85.63","94.00","76.00","101.56","89.94"
"8","92.71","8","y=2.55x+72.33","88.00","89.00","86.00","6.61","81.25","89.00","71.00","99.32","86.10"
"9","86.57","7","y=2.11x+71.82","86.00","79.00","80.00","5.84","78.14","86.00","67.00","92.41","80.73"
"10","84.43","7","y=1.21x+75.93","91.00","72.00","75.00","6.59","79.57","91.00","72.00","91.02","77.84"
"11","78.50","4","y=-0.40x+80.10","84.00","72.00","79.00","4.72","79.50","84.00","72.00","83.22","73.78"
"12","59.50","4","y=-2.60x+69.90","66.00","66.00","53.00","9.19","66.00","79.00","53.00","68.69","50.31"
"13","85.50","4","y=0.10x+85.10","92.00","74.00","88.00","6.76","85.25","92.00","74.00","92.26","78.74"
