1,,1,,,,,ジョバイロ,,牡,5,*,松若風馬,56,☆,4.3,492,- 4, ,118,,D1200,中, 88,|,D1200,後, 87,|,D1300,後, 80,|,D1200,後, 85,|,D1200,後, 82,|,D1300,中, 82,|,D1300,後, 90,|,D1200,後, 86,|,D1200,中, 84,+,D1400,後, 90,|,D1200,後, 92,|,D1200,中, 89,|,D1200,後, 89,|,D1300,中, 85,|,D1200,先, 90,|,D1200,後, 79,|,D1300,中, 90,|,D1300,中, 84,|,D1200,先, 88,|,D1200,中, 86,|,D1200,中, 86,+,D1400,中, 83,|,D1200,中, 93,|,D1200,先, 87,|,D1200,先, 84,|,D1200,先, 78,|,D1200,先, 78,|,D1200,逃, 78,|,D1400,逃, 74,|,D1400,先, 56,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ユキノマルガリータ,,牝,5,*,花田大昂,55,  ,71.7,480,  0, , 96,=,D1150,中, 85,|,D1200,後, 76,|,D1200,後, 79,|,D1700,後, 60,=,D1000,先, 85,|,D1200,中, 82,|,T1200,後, 67,=,D1200,中, 84,|,T1200,後, 84,+,D1700,後, 69,|,D1400,逃, 68,|,D1700,逃, 75,|,D1600,後,11着,|,D1200,逃, 72,|,D1150,先, 78,|,D1200,先, 86,|,T1800,中, 12,|,T1400,先, 70,+,D1500,逃,１着,|,T2000,中, 60,|,T1600,後, 67,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,クリノロッキー,,牡,5,*,平野優,57,  ,33.1,514,+ 6, , 98,=,D1150,後, 85,|,D1400,中, 76,|,D1400,先,２着,|,D1800,逃, 31,|,D1400,先,４着,|,D1500,中,９着,|,D1700,後, 69,|,D1400,先,３着,|,D1700,後, 83,=,D1000,後, 81,|,T1400,後, 78,|,T1200,後, 90,|,D1200,後, 89,|,S2880,後,13着,+,T1200,後, 85,|,T1200,中, 84,|,D1300,後, 82,|,T1200,後, 74,|,D1200,先,１着,|,D1200,中,１着,|,D1400,中,５着,|,D1400,後,９着,|,D1400,中,４着,|,D1200,後,３着,|,D1600,後,８着,|,D1800,先,８着,|,D1400,先,３着,|,D1200,中,３着,|,D1200,先,１着,|,D1200,中,４着,|,D2000,先,３着,=,D1200,逃,５着,|,D1000,先,１着,=,D1200,先,８着,|,D1000,逃,１着,|,D1200,中,２着,|,D1200,後,９着,|,D1000,後,４着,|,D1200,逃,３着,|,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,レガリアシチー,,牡,5,*,野中悠太,54,▲,8.5,506,+ 3, , 99,+,D1400,中,10着,+,D1400,逃,３着,|,D1200,先, 78,+,D1000,後, 82,+,D1200,後, 85,|,D1200,中, 86,|,D1200,逃, 82,+,D1200,先, 85,|,D1200,先, 84,+,D1800,後, 39,+,D1200,中, 81,|,D1200,中, 75,|,D1800,中, 68,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ジギースンナー,,牝,4,*,森一馬,55,  ,50.5,470,+ 8, , 91,,D1150,後, 69,+,D1200,後, 65,|,D1300,逃, 86,|,D1150,中, 85,|,D1150,中, 69,|,D1200,先, 73,+,D1000,逃, 81,|,D1200,先, 79,|,D1300,逃, 77,|,D1200,先, 77,|,D1200,中, 67,|,D1600,逃, 52,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,リッシンロケット,,牡,5,*,木幡初也,54,▲,10.1,474,+ 2, ,107,,D1400,先, 83,|,D1000,後, 86,|,D1000,中, 86,+,D1200,中, 84,|,D1000,後, 81,|,D1000,先, 86,|,D1400,後, 78,|,D1400,先,２着,+,D1000,中, 87,|,D1400,先, 87,|,D1200,後, 82,|,D1400,中, 86,|,D1150,中, 86,|,D1200,中, 86,|,D1000,中, 80,|,D1000,先, 88,+,D1150,先, 80,|,D1200,中, 79,|,D1000,中, 74,|,D1000,中, 76,|,D1200,先, 75,|,D1150,先, 76,+,D1000,中, 70,|,D1000,中, 58,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,ナルミチャン,,牝,5,*,杉原誠人,55,  ,39.7,474,- 2, , 97,,D1200,中, 82,|,D1400,中, 80,+,D1200,後, 82,|,D1600,先, 76,|,D1600,先, 72,|,D1700,先, 84,|,D1700,逃, 75,|,D1400,後, 73,|,D1200,中, 84,|,D1200,中, 83,+,D1400,逃,１着,|,D1400,先,２着,|,D1400,中,１着,|,D1200,先, 79,|,D1200,先, 75,|,D1200,先, 80,+,D1400,中, 72,|,T1200,中, 71,|,D1200,先, 75,|,D1200,先, 76,|,D1300,先, 75,|,D1200,中, 73,|,D1200,先, 75,+,T1200,中, 74,|,T1200,逃, 78,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,,,,,スイートガーデン,,牝,4,*,嶋田純次,55,  ,3.2,500,  0, ,116,,D1150,中, 87,|,D1200,先, 89,|,D1200,逃, 90,|,D1200,逃, 90,|,D1200,先, 92,|,D1400,中, 88,|,T1200,中, 84,|,T1200,中, 82,+,D1400,中, 81,=,D1400,後, 66,|,T1600,先, 83,|,T1600,先, 83,|,T1400,中, 62,|,T1600,逃, 80,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,アイネクライネ,,牝,5,*,中井裕二,55,  ,23.8,464,+ 2, ,102,,D1150,後, 85,|,D1200,中, 88,|,D1700,後, 46,|,D1400,中, 77,+,D1200,中, 86,|,D1200,中, 86,=,D1200,中, 83,+,D1400,後, 69,|,D1200,中, 89,=,D1200,先, 81,|,D1200,中, 86,|,D1150,後, 81,+,D1200,先, 82,+,D1400,後, 64,|,D1200,先, 82,|,D1200,後, 79,|,D1200,先, 72,|,D1200,後, 67,=,D1200,中, 70,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,◎,,,,レディー,,牝,5,*,鮫島克駿,52,▲,20.2,440,+ 4, ,100,,D1150,後, 76,|,D1200,中, 84,|,D1000,中, 88,|,D1000,中, 88,|,D1200,先, 87,|,D1200,中, 77,|,D1150,先, 88,|,D1150,先, 88,|,D1150,後, 86,|,D1000,中, 82,+,D1200,先, 83,|,D1200,中, 86,|,D1200,先, 86,|,D1200,先, 78,|,D1000,先, 89,|,D1000,先, 90,|,D1200,先, 88,|,D1200,先, 72,|,D1200,逃, 90,|,D1200,中, 89,|,D1150,中, 82,|,D1200,中, 82,|,D1000,中, 87,|,D1000,後, 82,|,D1000,後, 86,|,D1400,中, 87,|,D1200,後, 88,|,D1200,先, 85,|,T1200,後, 86,|,T1200,後, 81,|,T1200,後, 75,+,T1200,後, 75,|,T1200,中, 77,|,D1200,中,６着,|,T1200,中, 84,|,T1200,先, 83,|,T1500,後, 82,|,D1000,逃, 80,|,,,,,,,,,,,,,,,,,,,,,,
8,,11,,,,,ナリタロック,,牡,5,*,義英真,54,▲,3.3,494,- 6, ,106,,D1400,中, 82,|,D1400,中, 90,|,D1400,先, 91,|,D1400,中, 90,|,D1400,中, 92,|,D1400,先, 90,|,D1150,中, 91,|,D1400,後, 84,+,T1600,中, 82,|,D1400,中, 83,|,D1400,後, 91,|,D1200,中, 83,|,D1200,先, 85,|,D1400,中, 85,|,D1700,中, 76,|,D1400,先, 88,|,D1400,中, 46,|,D1400,中, 86,+,D1700,逃, 73,|,D1700,先, 78,|,D1700,逃, 87,+,D1800,先, 79,|,D1800,逃, 83,|,T1600,先, 74,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,12,,,,,デルマコナキジジ,,セ,5,,西村太一,57,  ,54.2,482,-10, , 96,,D1150,先, 81,|,T1200,中, 83,|,T1600,先, 70,|,T1600,中, 79,+,D1400,逃,１着,|,D1400,逃,１着,|,D1400,逃,１着,|,D1400,逃,３着,|,D1400,先,３着,|,D1400,逃,２着,+,D1400,後,10着,|,D1400,後,９着,|,T1600,中, 72,|,T1600,先, 80,=,T1800,逃, 76,+,T1600,逃, 75,|,T1800,逃, 76,|,D1400,後,10着,|,D1700,後, 65,|,D1800,中, 48,|,D1400,中, 67,+,T1500,先, 50,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
