"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"1","1","105","2","y=12.00x+81.00","93","81","0","6","87","93","81","111","99"
"8","8","102","2","y=19.00x+64.00","83","64","0","9.5","73.5","83","64","111.5","92.5"
"12","12","94.07","6","y=3.97x+70.24","94","83","79","7.22","80.17","94","71","101.29","86.85"
"11","11","88.3","5","y=1.50x+80.80","85","81","94","5.71","83.8","94","77","94.01","82.59"
"10","10","86.07","8","y=1.07x+77.50","79","85","89","4.55","81.25","89","75","90.62","81.52"
"9","9","86","3","y=1.50x+81.50","83","86","80","2.45","83","86","80","88.45","83.55"
"2","2","85.86","8","y=1.86x+71.00","82","80","81","4.9","77.5","82","68","90.76","80.96"
"4","4","83.73","6","y=1.11x+77.05","82","81","80","2.67","79.83","82","74","86.41","81.06"
"3","3","81","4","y=1.40x+75.40","82","77","72","3.64","77.5","82","72","84.64","77.36"
"7","7","80.5","4","y=2.70x+69.70","72","84","72","6.26","73.75","84","67","86.76","74.24"
"6","6","79.33","3","y=-2.00x+85.33","78","90","82","4.99","83.33","90","78","84.32","74.34"
"5","5","0","1","y=0x+0","84","0","0","0","84","84","84","0","0"
