"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","80.74","22","y=0.42x+71.41","88.00","64.00","85.00","8.87","75.86","90.00","54.00","89.61","71.87"
"2","66.56","14","y=0.07x+65.51","63.00","71.00","66.00","1.65","66.00","71.00","63.00","68.21","64.91"
"3","86.04","22","y=0.60x+72.95","91.00","91.00","84.00","8.83","79.20","91.00","61.00","94.87","77.21"
"4","80.93","14","y=0.68x+71.46","73.00","75.00","83.00","4.66","75.86","86.00","70.00","85.59","76.28"
"5","86.31","14","y=1.48x+65.60","86.00","78.00","87.00","7.68","75.21","87.00","62.00","93.99","78.62"
"6","85.75","19","y=0.94x+67.97","83.00","80.00","83.00","6.70","76.39","89.00","64.00","92.45","79.05"
"7","81.93","13","y=0.80x+71.59","82.00","84.00","76.36","5.65","76.36","86.00","66.00","87.58","76.29"
"8","79.07","10","y=-0.30x+82.04","83.00","71.00","82.00","3.74","80.70","85.00","71.00","82.81","75.32"
"9","83.20","19","y=0.16x+80.20","78.00","90.00","79.00","5.13","81.63","92.00","74.00","88.33","78.08"
"10","89.72","9","y=2.70x+65.42","89.00","84.00","82.00","7.47","76.22","89.00","67.00","97.19","82.26"
