"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","101.35","12","y=2.49x+71.47","96.00","99.00","87.00","9.28","85.17","99.00","71.00","110.63","92.07"
"2","95.10","44","y=0.39x+77.93","95.00","91.00","91.00","7.29","86.32","98.00","64.00","102.39","87.81"
"3","93.82","11","y=1.86x+73.32","92.00","89.00","92.00","9.82","82.64","92.00","62.00","103.64","84.00"
"4","92.32","25","y=0.50x+79.78","95.00","91.00","99.00","11.81","85.80","102.00","57.00","104.13","80.51"
"5","98.56","12","y=3.46x+57.06","95.00","82.00","98.00","13.79","76.08","98.00","55.00","112.35","84.77"
"6","100.95","15","y=0.71x+90.29","97.00","91.00","97.00","8.81","95.27","111.00","81.00","109.76","92.14"
"7","94.80","12","y=3.14x+57.17","92.00","95.00","91.00","14.36","74.42","95.00","47.00","109.16","80.45"
"8","87.99","17","y=0.75x+75.24","83.00","91.00","92.00","7.87","81.24","92.00","58.00","95.86","80.11"
"9","97.43","7","y=2.50x+79.93","96.00","94.00","81.00","6.74","87.43","96.00","79.00","104.17","90.69"
"10","97.20","33","y=0.60x+77.40","91.00","96.00","91.00","8.79","87.00","98.00","69.00","105.99","88.41"
"11","86.87","23","y=0.40x+77.78","94.00","93.00","94.00","13.89","82.13","97.00","40.00","100.77","72.98"
"12","89.87","55","y=0.08x+85.22","77.00","85.00","87.00","5.81","87.50","96.00","71.00","95.68","84.06"
