"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","108.23","15","y=1.58x+84.55","104.00","105.00","101.00","7.63","95.60","105.00","81.00","115.86","100.60"
"2","100.08","27","y=0.73x+80.35","96.00","100.00","102.00","7.72","89.85","102.00","72.00","107.80","92.36"
"3","98.46","42","y=0.39x+81.88","100.00","97.00","95.00","8.03","89.98","100.00","69.00","106.50","90.43"
"4","101.73","37","y=0.52x+82.62","96.00","96.00","101.00","6.95","91.92","102.00","76.00","108.68","94.78"
"5","100.20","28","y=0.67x+81.47","96.00","92.00","98.00","7.18","90.50","101.00","68.00","107.38","93.02"
"6","108.79","20","y=1.18x+85.19","91.00","97.00","107.00","9.18","96.40","112.00","79.00","117.98","99.61"
"7","97.88","44","y=0.48x+76.78","100.00","93.00","103.00","8.47","87.09","103.00","56.00","106.35","89.41"
"8","106.87","15","y=1.75x+80.62","105.00","98.00","102.00","8.29","92.87","105.00","78.00","115.16","98.57"
"9","100.82","31","y=0.40x+88.36","100.00","94.00","94.00","6.51","94.39","105.00","79.00","107.33","94.31"
"10","101.74","36","y=0.29x+91.38","96.00","105.00","93.00","5.68","96.42","105.00","82.00","107.43","96.06"
"11","101.30","15","y=1.60x+77.24","101.00","93.00","96.00","7.91","88.47","101.00","77.00","109.20","93.39"
"12","103.05","16","y=1.26x+82.96","91.00","99.00","103.00","7.52","92.38","103.00","82.00","110.57","95.53"
"13","109.79","14","y=2.76x+71.11","101.00","106.00","99.00","12.78","89.07","106.00","60.00","122.57","97.02"
"14","102.63","16","y=2.00x+70.70","101.00","94.00","98.00","10.80","85.67","102.00","69.00","113.42","91.83"
