"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","78.47","18","y=0.41x+71.13","75.00","88.00","78.00","5.50","74.60","88.00","57.00","83.97","72.98"
"2","86.84","33","y=0.02x+86.03","85.00","83.00","91.00","6.48","86.42","99.00","68.00","93.33","80.36"
"3","74.14","8","y=-0.11x+75.00","66.00","85.00","79.00","5.63","74.63","85.00","66.00","79.78","68.51"
"4","87.89","15","y=0.91x+74.23","90.00","77.00","85.00","5.93","80.60","90.00","69.00","93.82","81.96"
"5","68.57","11","y=0.14x+67.07","67.75","67.75","67.75","5.42","67.75","75.00","53.00","73.98","63.15"
"6","87.95","12","y=1.15x+74.19","89.00","84.00","91.00","6.68","80.50","91.00","66.00","94.63","81.28"
"7","93.97","18","y=0.50x+85.00","90.00","89.00","88.00","5.67","89.24","98.00","77.00","99.64","88.30"
"8","88.29","11","y=0.93x+78.09","87.00","84.00","88.00","4.53","82.73","88.00","71.00","92.83","83.76"
"9","82.00","2","y=1.00x+80.00","81.00","80.00","0.00","0.50","80.50","81.00","80.00","82.50","81.50"
"10","87.53","22","y=0.24x+82.17","88.00","86.00","79.00","5.54","84.73","97.00","75.00","93.08","81.99"
"11","80.56","6","y=0.90x+75.14","81.00","77.00","79.00","2.74","77.40","81.00","72.00","83.30","77.82"
"12","57.00","5","y=-4.00x+77.00","60.00","64.00","77.00","7.95","69.00","80.00","60.00","64.95","49.05"
"13","89.97","9","y=1.75x+74.22","86.00","87.00","87.00","6.23","81.22","87.00","68.00","96.20","83.74"
"14","88.10","5","y=1.10x+82.60","86.00","86.00","85.00","2.48","84.80","87.00","80.00","90.58","85.62"
"15","88.89","17","y=0.18x+85.76","86.00","84.00","90.00","6.57","87.24","98.00","70.00","95.46","82.32"
"16","89.56","9","y=1.00x+80.56","91.00","81.00","89.00","4.50","84.56","91.00","76.00","94.06","85.06"
