"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","82.67","3","y=3.50x+72.17","77.00","80.00","70.00","4.19","75.67","80.00","70.00","86.86","78.48"
"2","76.33","3","y=-1.00x+79.33","77.00","79.00","79.00","0.94","78.33","79.00","77.00","77.28","75.39"
"3","0","1","y=0x+0","63.00","0.00","0.00","0.00","63.00","63.00","63.00","0","0"
"4","54.80","5","y=-2.80x+68.80","59.00","55.00","73.00","7.70","63.20","73.00","55.00","62.50","47.10"
"5","0","1","y=0x+0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"6","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"7","63.71","7","y=0.14x+62.71","62.00","71.00","59.00","5.84","63.14","71.00","56.00","69.56","57.87"
"8","74.20","6","y=-0.37x+76.43","75.00","75.00","75.00","0.76","75.50","77.00","75.00","74.96","73.44"
"9","62.33","3","y=-2.00x+68.33","66.00","63.00","70.00","2.87","66.33","70.00","63.00","65.20","59.47"
"10","72.67","3","y=-1.00x+75.67","74.00","74.00","76.00","0.94","74.67","76.00","74.00","73.61","71.72"
"11","55.00","3","y=0.00x+55.00","55.00","55.00","55.00","0.00","55.00","55.00","55.00","55.00","55.00"
"12","83.00","2","y=4.00x+75.00","79.00","75.00","0.00","2.00","77.00","79.00","75.00","85.00","81.00"
"13","72.00","4","y=2.20x+63.20","64.00","75.00","68.00","5.85","66.50","75.00","59.00","77.85","66.15"
"14","40.00","2","y=-12.00x+64.00","52.00","64.00","0.00","6.00","58.00","64.00","52.00","46.00","34.00"
"15","0","1","y=0x+0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"16","73.50","4","y=-0.30x+74.70","73.00","77.00","71.00","2.38","74.25","77.00","71.00","75.88","71.12"
"17","58.67","4","y=-1.20x+63.47","61.67","59.00","61.00","2.16","61.67","65.00","59.00","60.83","56.51"
"18","67.00","4","y=1.50x+61.00","65.00","58.00","76.00","8.35","63.25","76.00","54.00","75.35","58.65"
