"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","88.90","5","y=2.50x+76.40","83.00","86.00","83.00","4.84","81.40","86.00","72.00","93.74","84.06"
"2","79.96","8","y=0.38x+76.92","85.00","90.00","63.00","8.45","78.25","90.00","63.00","88.42","71.51"
"3","83.27","6","y=1.03x+77.10","84.00","84.00","74.00","3.50","79.67","84.00","74.00","86.76","79.77"
"4","87.25","9","y=1.35x+75.10","88.00","88.00","83.00","5.87","80.50","88.00","70.00","93.12","81.38"
"5","94.14","7","y=3.18x+71.89","93.00","87.00","83.00","6.50","81.43","93.00","72.00","100.64","87.64"
"6","77.63","5","y=1.10x+72.13","74.33","79.00","76.00","3.60","74.33","79.00","68.00","81.23","74.04"
"7","76.80","5","y=-1.00x+81.80","76.00","83.00","76.00","3.19","79.80","83.00","76.00","79.99","73.61"
"8","93.27","6","y=2.60x+77.67","91.00","90.00","85.00","5.01","84.17","91.00","78.00","98.28","88.25"
"9","95.71","7","y=2.71x+76.71","91.00","92.00","91.00","5.87","84.86","92.00","77.00","101.58","89.85"
"10","46.50","4","y=-11.90x+94.10","52.00","83.00","76.00","15.40","76.25","94.00","52.00","61.90","31.10"
"11","82.20","6","y=-0.94x+87.86","87.00","76.00","85.00","4.92","85.50","91.00","76.00","87.12","77.28"
"12","101.00","3","y=7.50x+78.50","95.00","83.00","80.00","6.48","86.00","95.00","80.00","107.48","94.52"
