"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","86.85","17","y=0.98x+70.14","89.00","86.00","91.00","8.94","78.00","91.00","56.00","95.79","77.90"
"2","94.43","7","y=4.11x+65.68","86.00","91.00","78.00","9.37","78.00","91.00","59.00","103.79","85.06"
"3","85.64","9","y=0.48x+81.29","81.00","86.00","85.00","4.52","83.22","91.00","76.00","90.15","81.12"
"4","101.33","6","y=3.43x+80.76","94.00","92.00","98.00","7.54","89.33","98.00","78.00","108.88","93.79"
"5","80.75","19","y=-0.12x+83.12","73.00","72.00","90.00","6.52","82.00","90.00","69.00","87.28","74.23"
"6","93.40","10","y=2.29x+70.49","90.00","91.00","89.00","7.81","80.80","91.00","71.00","101.21","85.59"
"7","81.84","24","y=-0.12x+84.65","86.00","67.00","80.00","6.45","83.30","93.00","67.00","88.29","75.39"
"8","89.09","11","y=1.05x+77.59","89.00","85.00","84.00","5.67","82.82","92.00","72.00","94.76","83.42"
"9","86.04","11","y=2.13x+62.64","80.00","83.00","87.00","11.34","73.27","87.00","57.00","97.37","74.70"
"10","84.25","8","y=-0.08x+84.92","84.00","83.00","80.00","3.50","84.63","91.00","80.00","87.75","80.75"
"11","86.40","10","y=1.71x+69.31","89.00","90.00","83.00","10.00","77.00","90.00","52.00","96.40","76.40"
"12","88.45","24","y=0.67x+72.38","86.00","86.00","90.00","5.83","80.08","90.00","62.00","94.28","82.61"
"13","92.38","11","y=1.70x+73.68","87.00","86.00","89.00","6.44","82.18","89.00","71.00","98.82","85.95"
"14","88.77","10","y=0.91x+79.65","88.00","90.00","83.75","4.75","83.75","90.00","74.00","93.52","84.02"
"15","82.76","18","y=-0.27x+87.56","87.00","85.29","77.00","7.77","85.29","95.00","60.00","90.52","74.99"
"16","84.58","27","y=-0.01x+84.82","92.00","80.00","89.00","4.90","84.70","92.00","71.00","89.47","79.68"
