"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","48.00","2","y=-13.00x+74.00","61.00","74.00","0.00","6.50","67.50","74.00","61.00","54.50","41.50"
"2","59.00","2","y=0.00x+59.00","59.00","59.00","0.00","0.00","59.00","59.00","59.00","59.00","59.00"
"3","73.54","8","y=-0.80x+79.92","66.00","78.00","79.00","4.65","77.13","82.00","66.00","78.18","68.89"
"4","0","1","y=0x+0","72.00","0.00","0.00","0.00","72.00","72.00","72.00","0","0"
"5","84.50","4","y=2.40x+74.90","83.00","78.00","78.00","2.87","78.50","83.00","75.00","87.37","81.63"
"6","64.67","4","y=-0.40x+66.27","70.00","55.00","72.00","6.57","65.67","72.00","55.00","71.24","58.10"
"7","73.50","4","y=-1.00x+77.50","70.00","82.00","77.00","4.30","76.00","82.00","70.00","77.80","69.20"
"8","72.00","2","y=0.00x+72.00","72.00","72.00","0.00","0.00","72.00","72.00","72.00","72.00","72.00"
"9","62.70","5","y=-1.30x+69.20","71.00","62.00","58.00","6.09","66.60","75.00","58.00","68.79","56.61"
"10","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"11","58.00","3","y=-5.00x+73.00","62.00","70.00","72.00","4.32","68.00","72.00","62.00","62.32","53.68"
"12","72.00","2","y=0.00x+72.00","72.00","72.00","0.00","0.00","72.00","72.00","72.00","72.00","72.00"
"13","67.00","3","y=-0.25x+67.75","67.00","68.00","67.50","0.41","67.50","68.00","67.00","67.41","66.59"
"14","66.00","2","y=-6.00x+78.00","72.00","78.00","0.00","3.00","75.00","78.00","72.00","69.00","63.00"
"15","79.50","9","y=1.83x+63.00","73.00","82.00","77.00","7.83","70.33","82.00","58.00","87.33","71.67"
"16","71.00","2","y=0.00x+71.00","71.00","71.00","0.00","0.00","71.00","71.00","71.00","71.00","71.00"
