"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","70.33","3","y=-3.00x+79.33","77.00","69.00","83.00","5.73","76.33","83.00","69.00","76.07","64.60"
"2","52.50","4","y=-7.30x+81.70","65.00","58.00","77.00","9.81","70.75","83.00","58.00","62.31","42.69"
"3","81.20","5","y=-0.40x+83.20","83.00","77.00","87.00","3.20","82.40","87.00","77.00","84.40","78.00"
"4","67.50","4","y=-1.80x+74.70","69.00","69.00","78.00","3.67","72.00","78.00","69.00","71.17","63.83"
"5","75.50","4","y=-0.40x+77.10","75.00","77.00","78.00","1.12","76.50","78.00","75.00","76.62","74.38"
"6","87.50","5","y=3.90x+68.00","87.00","75.00","76.00","6.11","75.80","87.00","69.00","93.61","81.39"
"7","71.24","6","y=1.38x+62.94","66.00","72.00","66.40","3.86","66.40","72.00","59.00","75.10","67.38"
"8","55.50","4","y=-5.60x+77.90","65.00","59.00","76.00","7.83","69.50","78.00","59.00","63.33","47.67"
"9","0","1","y=0x+0","56.00","0.00","0.00","0.00","56.00","56.00","56.00","0","0"
"10","71.67","3","y=0.50x+70.17","81.00","51.00","80.00","13.91","70.67","81.00","51.00","85.58","57.75"
"11","97.67","3","y=8.50x+72.17","87.00","85.00","70.00","7.59","80.67","87.00","70.00","105.25","90.08"
"12","69.40","6","y=0.97x+63.57","66.00","80.00","53.00","7.81","66.00","80.00","53.00","77.21","61.59"
"13","75.50","4","y=0.90x+71.90","75.00","70.00","79.00","4.02","73.25","79.00","69.00","79.52","71.48"
"14","66.50","4","y=0.00x+66.50","67.00","62.00","74.00","4.72","66.50","74.00","62.00","71.22","61.78"
"15","61.33","3","y=1.50x+56.83","57.00","64.00","54.00","4.19","58.33","64.00","54.00","65.52","57.14"
"16","62.33","3","y=-4.00x+74.33","63.00","77.00","71.00","5.73","70.33","77.00","63.00","68.07","56.60"
