"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","110.88","18","y=1.19x+89.53","97.00","103.00","110.00","8.85","99.61","113.00","80.00","119.73","102.02"
"2","113.00","16","y=1.90x+82.53","110.00","115.00","109.00","9.93","96.81","115.00","80.00","122.93","103.07"
"3","118.49","20","y=1.43x+89.84","112.00","111.00","109.00","11.20","103.45","114.00","70.00","129.69","107.29"
"4","109.70","14","y=1.42x+89.86","110.00","96.00","97.00","9.90","99.07","111.00","79.00","119.61","99.80"
"5","112.28","34","y=0.97x+79.45","108.00","112.00","105.00","11.07","95.38","112.00","68.00","123.35","101.21"
"6","115.02","40","y=0.77x+84.05","115.00","112.00","109.00","10.04","99.15","115.00","72.00","125.06","104.98"
"7","111.59","14","y=2.14x+81.69","110.00","101.00","106.00","9.36","95.57","110.00","80.00","120.95","102.24"
"8","109.59","14","y=2.51x+74.49","106.00","110.00","100.00","11.71","90.79","110.00","68.00","121.30","97.89"
"9","111.69","13","y=1.64x+90.41","113.00","105.00","106.00","7.21","100.23","113.00","85.00","118.91","104.48"
"10","112.11","9","y=3.00x+85.11","108.00","104.00","106.00","8.10","97.11","108.00","86.00","120.21","104.01"
"11","113.35","14","y=2.15x+83.23","103.00","110.00","107.00","9.79","97.21","110.00","81.00","123.14","103.56"
"12","117.61","24","y=1.03x+92.84","111.00","116.00","113.00","9.84","104.71","116.00","76.00","127.44","107.77"
"13","120.44","28","y=1.52x+78.01","110.00","109.00","106.00","14.30","98.46","113.00","56.00","134.74","106.13"
"14","105.95","42","y=0.25x+95.38","97.00","100.00","100.00","7.07","100.54","113.00","79.00","113.02","98.88"
"15","112.29","24","y=1.01x+88.13","112.00","112.00","107.00","8.65","99.71","112.00","82.00","120.94","103.64"
"16","118.52","25","y=0.92x+95.60","108.00","101.00","114.00","10.88","106.60","118.00","75.00","129.40","107.64"
