"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","97.87","10","y=2.16x+76.29","91.00","95.00","95.00","7.73","86.00","95.00","70.00","105.60","90.13"
"2","90.26","20","y=1.09x+68.43","90.00","91.00","87.00","8.08","78.80","96.00","67.00","98.34","82.18"
"3","97.18","11","y=1.36x+82.18","94.00","91.00","93.00","5.36","89.00","97.00","78.00","102.54","91.82"
"4","93.29","27","y=0.64x+75.95","94.00","84.00","93.00","6.98","84.30","94.00","69.00","100.26","86.31"
"5","98.37","29","y=1.12x+65.86","92.00","96.00","98.00","11.76","81.55","98.00","53.00","110.13","86.61"
"6","95.59","29","y=1.13x+62.72","95.00","85.00","97.00","11.28","78.59","98.00","53.00","106.86","84.31"
"7","95.06","15","y=0.20x+92.00","98.00","98.00","96.00","3.05","93.43","98.00","88.00","98.11","92.01"
"8","95.95","36","y=0.60x+74.21","92.00","96.00","99.00","8.99","84.78","99.00","51.00","104.94","86.96"
"9","94.34","30","y=0.72x+72.71","94.00","88.00","93.00","7.79","83.17","96.00","69.00","102.14","86.55"
"10","95.33","18","y=0.43x+87.65","99.00","77.00","96.00","6.61","91.28","99.00","76.00","101.93","88.72"
"11","92.38","17","y=0.70x+80.55","92.00","90.00","90.00","4.89","86.12","93.00","77.00","97.27","87.50"
"12","94.50","16","y=1.14x+76.26","99.00","93.00","91.00","6.15","84.81","99.00","76.00","100.65","88.35"
