"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","76.33","3","y=-0.50x+77.83","77.00","77.00","78.00","0.47","77.33","78.00","77.00","76.80","75.86"
"2","62.33","3","y=-1.00x+65.33","63.00","65.00","65.00","0.94","64.33","65.00","63.00","63.28","61.39"
"3","60.50","4","y=-3.90x+76.10","65.00","65.00","77.00","5.36","70.25","77.00","65.00","65.86","55.14"
"4","0","1","y=0x+0","64.00","0.00","0.00","0.00","64.00","64.00","64.00","0","0"
"5","78.00","2","y=2.00x+74.00","76.00","74.00","0.00","1.00","75.00","76.00","74.00","79.00","77.00"
"6","66.90","7","y=-0.11x+67.65","64.00","71.00","65.00","2.54","67.33","71.00","64.00","69.45","64.36"
"7","58.10","5","y=-2.55x+70.85","64.00","54.00","69.00","7.17","65.75","76.00","54.00","65.27","50.93"
"8","68.00","3","y=-1.50x+72.50","64.00","82.00","67.00","7.87","71.00","82.00","64.00","75.87","60.13"
"9","77.89","9","y=0.07x+77.29","77.00","79.00","82.00","2.63","77.56","82.00","72.00","80.52","75.26"
"10","83.00","2","y=14.00x+55.00","69.00","55.00","0.00","7.00","62.00","69.00","55.00","90.00","76.00"
"11","69.64","8","y=-0.11x+70.50","61.00","80.00","68.00","5.30","70.13","80.00","61.00","74.94","64.34"
"12","88.00","2","y=16.00x+56.00","72.00","56.00","0.00","8.00","64.00","72.00","56.00","96.00","80.00"
"13","72.33","3","y=2.00x+66.33","72.00","65.00","68.00","2.87","68.33","72.00","65.00","75.20","69.47"
"14","77.00","3","y=-1.00x+80.00","79.00","77.00","81.00","1.63","79.00","81.00","77.00","78.63","75.37"
"15","65.80","6","y=-0.34x+67.86","67.00","67.00","61.00","3.46","67.00","71.00","61.00","69.26","62.34"
"16","73.10","5","y=0.10x+72.60","73.00","73.00","75.00","2.56","72.80","75.00","68.00","75.66","70.54"
