"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","78.88","16","y=0.34x+73.46","76.00","74.00","76.00","5.41","76.00","84.00","61.00","84.28","73.47"
"2","83.54","15","y=1.04x+67.90","93.00","86.00","68.00","8.79","75.20","93.00","59.00","92.33","74.75"
"3","85.13","21","y=0.56x+73.43","91.00","70.00","94.00","5.94","79.00","94.00","70.00","91.07","79.18"
"4","91.39","12","y=0.92x+80.36","83.00","88.00","94.00","4.59","85.42","94.00","78.00","95.98","86.80"
"5","94.54","15","y=0.39x+88.65","88.00","82.00","95.00","6.17","91.40","101.00","79.00","100.72","88.37"
"6","95.15","22","y=1.13x+70.18","89.00","93.00","95.00","10.81","82.10","99.00","54.00","105.96","84.33"
"7","96.19","34","y=0.52x+78.39","95.00","89.00","95.00","6.50","87.03","99.00","73.00","102.69","89.69"
"8","89.20","14","y=0.85x+77.31","90.00","92.00","90.00","6.17","82.83","92.00","75.00","95.38","83.03"
"9","97.02","53","y=0.41x+75.13","90.00","90.00","98.00","10.14","85.87","99.00","55.00","107.17","86.88"
"10","74.34","22","y=-0.01x+74.65","62.00","87.00","74.50","3.77","74.50","87.00","62.00","78.11","70.57"
"11","88.87","20","y=0.56x+77.69","91.00","89.00","87.00","5.99","83.00","91.00","67.00","94.87","82.88"
"12","93.25","26","y=0.75x+73.82","96.00","85.00","84.00","9.22","83.16","99.00","56.00","102.47","84.03"
"13","97.17","17","y=1.29x+75.29","95.00","96.00","92.00","9.25","85.59","96.00","62.00","106.42","87.91"
"14","84.20","5","y=1.40x+77.20","91.00","69.00","80.00","7.21","80.00","91.00","69.00","91.41","76.99"
"15","93.84","23","y=0.79x+75.57","88.00","94.00","89.00","6.56","84.30","94.00","67.00","100.40","87.27"
"16","95.12","12","y=1.76x+73.97","92.00","92.00","91.00","7.25","83.67","95.00","70.00","102.37","87.87"
