"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"12","12","105.13","6","y=8.94x+51.48","91","86","78","18.56","73.83","91","34","123.69","86.57"
"4","4","100","4","y=6.60x+73.60","100","78","78","9.53","83.5","100","78","109.53","90.47"
"5","5","96.5","4","y=7.50x+66.50","90","84","66","9.65","77.75","90","66","106.15","86.85"
"9","9","95.6","5","y=7.60x+57.60","82","87","82","13.88","72.8","87","51","109.48","81.72"
"15","15","93.6","5","y=2.00x+83.60","89","91","91","3.56","87.6","91","82","97.16","90.04"
"3","3","91.42","9","y=1.62x+76.87","90","84","87","4.9","83.33","90","73","96.32","86.52"
"7","7","89.93","8","y=1.01x+81.83","89","87","84","3.84","85.38","89","77","93.77","86.09"
"1","1","89.48","12","y=1.59x+70.44","93","87","74","8.64","79.17","93","57","98.12","80.85"
"11","11","89.4","6","y=2.54x+74.14","94","76","81","6.34","80.5","94","75","95.74","83.06"
"8","8","88.93","6","y=2.17x+75.90","83","92","85","6.72","81.33","92","72","95.66","82.21"
"16","16","88.14","8","y=0.86x+81.29","89","81","88","3.86","84.29","89","79","92.01","84.28"
"14","14","85.88","15","y=1.84x+58.23","73","88","75","9.69","71.13","88","55","95.57","76.18"
"6","6","85","10","y=0.65x+78.45","81","90","77","4.29","81.4","90","76","89.29","80.71"
"2","2","85","2","y=2.00x+81.00","83","81","0","1","82","83","81","86","84"
"10","10","78.5","3","y=2.50x+71.00","76","73.5","71","2.04","73.5","76","71","80.54","76.46"
"13","13","78.43","10","y=0.17x+76.74","90","66","77","5.38","77.5","90","66","83.81","73.06"
