"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"10","10","89.72","9","y=2.70x+65.42","89","84","82","7.47","76.22","89","67","97.19","82.26"
"6","6","89.26","19","y=1.46x+61.46","83","80","83","10.02","74.63","89","43","99.29","79.24"
"3","3","88.13","22","y=0.91x+68.21","91","91","84","10.96","77.71","91","48","99.09","77.17"
"5","5","86.31","14","y=1.48x+65.60","86","78","87","7.68","75.21","87","62","93.99","78.62"
"9","9","83.2","19","y=0.16x+80.20","78","90","79","5.13","81.63","92","74","88.33","78.08"
"7","7","81.93","13","y=0.80x+71.59","82","84","76.36","5.65","76.36","86","66","87.58","76.29"
"4","4","80.93","14","y=0.68x+71.46","73","75","83","4.66","75.86","86","70","85.59","76.28"
"1","1","80.74","22","y=0.42x+71.41","88","64","85","8.87","75.86","90","54","89.61","71.87"
"8","8","79.07","10","y=-0.30x+82.04","83","71","82","3.74","80.7","85","71","82.81","75.32"
"2","2","65.16","14","y=0.84x+53.46","63","71","58.89","10.82","58.89","71","32","75.98","54.34"
