"ID","NUM","Y","AVAILABLE","REGRESSIONEQUATION","LAST_Y","LAST2_Y","LAST3_Y","STANDARD_DEVIATION","MEAN_Y","MAX_Y","MIN_Y","Y_PLUS_STANDARD_DEVIATION","Y_MINUS_STANDARD_DEVIATION"
"1","1","100.75","8","y=2.08x+84.08","92","98","97","5.91","91.38","98","80","106.66","94.84"
"14","14","92.82","19","y=1.11x+71.76","69","91","91","9.44","81.74","91","60","102.27","83.38"
"7","7","90.75","19","y=0.82x+75.22","82","91","90","5.99","82.58","91","72","96.75","84.76"
"6","6","88.09","13","y=1.71x+65.79","90","87","85","12.34","76.08","90","41","100.42","75.75"
"2","2","88.03","15","y=0.73x+77.10","74","83","83","6.79","82.2","92","69","94.82","81.23"
"9","9","87.38","18","y=1.18x+66.09","79","83","84","9.9","76.14","86","50","97.28","77.49"
"13","13","86.73","10","y=0.68x+79.95","81","87","86","3.46","83","89","79","90.2","83.27"
"4","4","85.58","12","y=1.83x+63.59","84","74","80","8.56","73.67","84","56","94.13","77.02"
"15","15","85.09","15","y=0.01x+84.93","88","82","85","1.1","85","88","82","86.18","83.99"
"8","8","83.84","25","y=0.30x+76.38","83","79","84","5.76","79.96","92","71","89.6","78.08"
"10","10","83.82","10","y=1.91x+64.75","79","73","89","7.8","73.33","89","62","91.62","76.02"
"3","3","79.71","9","y=2.78x+54.73","72","80","65.83","9.61","65.83","80","45","89.32","70.1"
"12","12","77.71","13","y=1.91x+52.87","73","64.33","64","10.84","64.33","80","42","88.55","66.86"
"5","5","77.28","19","y=0.09x+75.65","74","77","80","5.23","76.42","89","69","82.52","72.05"
"11","11","71.71","18","y=0.34x+65.63","61","76","51","12.47","68.5","87","45","84.18","59.23"
"16","16","65.73","21","y=0.32x+59.09","74","62.25","62.25","4.45","62.25","74","46","70.18","61.27"
