"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","105.00","2","y=12.00x+81.00","93.00","81.00","0.00","6.00","87.00","93.00","81.00","111.00","99.00"
"2","85.86","8","y=1.86x+71.00","82.00","80.00","81.00","4.90","77.50","82.00","68.00","90.76","80.96"
"3","81.00","4","y=1.40x+75.40","82.00","77.00","72.00","3.64","77.50","82.00","72.00","84.64","77.36"
"4","83.73","6","y=1.11x+77.05","82.00","81.00","80.00","2.67","79.83","82.00","74.00","86.41","81.06"
"5","0","1","y=0x+0","84.00","0.00","0.00","0.00","84.00","84.00","84.00","0","0"
"6","79.33","3","y=-2.00x+85.33","78.00","90.00","82.00","4.99","83.33","90.00","78.00","84.32","74.34"
"7","80.50","4","y=2.70x+69.70","72.00","84.00","72.00","6.26","73.75","84.00","67.00","86.76","74.24"
"8","102.00","2","y=19.00x+64.00","83.00","64.00","0.00","9.50","73.50","83.00","64.00","111.50","92.50"
"9","86.00","3","y=1.50x+81.50","83.00","86.00","80.00","2.45","83.00","86.00","80.00","88.45","83.55"
"10","86.07","8","y=1.07x+77.50","79.00","85.00","89.00","4.55","81.25","89.00","75.00","90.62","81.52"
"11","88.30","5","y=1.50x+80.80","85.00","81.00","94.00","5.71","83.80","94.00","77.00","94.01","82.59"
"12","94.07","6","y=3.97x+70.24","94.00","83.00","79.00","7.22","80.17","94.00","71.00","101.29","86.85"
