"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","109.63","30","y=0.93x+81.83","106.00","107.00","107.00","10.59","95.27","107.00","72.00","120.22","99.03"
"2","115.59","36","y=0.54x+96.12","109.00","104.00","109.00","10.06","105.58","117.00","78.00","125.65","105.53"
"3","128.03","12","y=3.48x+86.28","120.00","119.00","115.00","13.31","105.42","120.00","79.00","141.34","114.72"
"4","121.43","25","y=1.53x+83.06","116.00","117.00","116.00","14.41","101.48","117.00","75.00","135.84","107.02"
"5","112.90","33","y=1.06x+77.98","97.00","111.00","101.00","13.02","94.91","111.00","57.00","125.92","99.88"
"6","117.57","17","y=0.98x+100.94","116.00","115.00","119.00","9.33","108.76","120.00","91.00","126.90","108.23"
"7","125.68","12","y=3.04x+89.17","120.00","119.00","120.00","11.65","105.90","120.00","80.00","137.33","114.03"
"8","111.45","28","y=0.49x+97.71","104.33","111.00","104.33","10.10","104.33","120.00","70.00","121.55","101.35"
"9","121.77","18","y=1.93x+87.10","117.00","111.00","116.00","11.60","103.47","117.00","76.00","133.37","110.17"
"10","113.93","10","y=3.39x+80.05","115.00","112.00","102.00","10.58","95.30","115.00","82.00","124.52","103.35"
"11","116.69","11","y=2.74x+86.59","112.00","106.00","109.00","9.58","100.27","112.00","78.00","126.27","107.11"
"12","121.29","14","y=2.57x+85.29","117.00","122.00","115.00","11.27","102.00","122.00","81.00","132.56","110.02"
"13","116.81","21","y=1.68x+81.44","116.00","115.00","115.00","10.52","98.29","116.00","82.00","127.33","106.29"
"14","116.08","13","y=2.15x+88.08","111.00","108.00","109.00","9.16","101.00","111.00","81.00","125.23","106.92"
