"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","69.00","2","y=-1.00x+71.00","70.00","71.00","0.00","0.50","70.50","71.00","70.00","69.50","68.50"
"2","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"3","74.86","7","y=0.68x+70.11","73.00","70.00","81.00","6.36","72.14","81.00","63.00","81.21","68.50"
"4","60.00","2","y=-3.00x+66.00","63.00","66.00","0.00","1.50","64.50","66.00","63.00","61.50","58.50"
"5","78.50","4","y=1.30x+73.30","79.00","74.00","73.00","2.28","75.25","79.00","73.00","80.78","76.22"
"6","65.93","6","y=-0.69x+70.05","62.00","77.00","67.00","6.62","68.33","77.00","59.00","72.56","59.31"
"7","96.00","2","y=19.00x+58.00","77.00","58.00","0.00","9.50","67.50","77.00","58.00","105.50","86.50"
"8","73.43","7","y=1.46x+63.18","70.00","70.00","74.00","4.59","67.57","74.00","58.00","78.02","68.83"
"9","79.00","2","y=6.00x+67.00","73.00","67.00","0.00","3.00","70.00","73.00","67.00","82.00","76.00"
"10","74.92","9","y=0.92x+66.67","67.00","76.00","78.00","4.14","70.33","78.00","66.00","79.05","70.78"
"11","61.00","3","y=-3.50x+71.50","62.00","73.00","69.00","4.55","68.00","73.00","62.00","65.55","56.45"
"12","62.00","2","y=4.00x+54.00","58.00","54.00","0.00","2.00","56.00","58.00","54.00","64.00","60.00"
"13","56.36","7","y=-1.87x+69.44","53.00","63.83","58.00","7.59","63.83","77.00","53.00","63.94","48.77"
"14","82.50","4","y=2.47x+72.63","82.00","74.00","76.33","3.49","76.33","82.00","73.00","85.99","79.01"
"15","74.00","3","y=-3.00x+83.00","77.00","80.00","83.00","2.45","80.00","83.00","77.00","76.45","71.55"
