"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","97.35","16","y=1.43x+74.46","92.00","90.00","92.00","8.19","85.19","97.00","66.00","105.54","89.16"
"2","98.00","12","y=1.42x+80.92","94.00","95.00","93.00","5.39","88.75","95.00","79.00","103.39","92.61"
"3","90.29","12","y=1.49x+72.37","93.00","91.00","82.00","7.91","80.58","93.00","67.00","98.20","82.38"
"4","96.00","13","y=1.99x+70.14","96.00","97.00","92.00","8.53","82.08","97.00","69.00","104.53","87.47"
"5","93.47","9","y=1.12x+83.42","91.00","91.00","81.00","5.65","87.89","97.00","78.00","99.12","87.83"
"6","99.97","12","y=1.48x+82.18","101.00","91.00","92.00","8.54","90.33","103.00","75.00","108.51","91.43"
"7","92.09","12","y=0.36x+87.77","91.00","97.00","91.00","4.67","89.75","97.00","81.00","96.77","87.42"
"8","81.10","21","y=0.58x+68.88","74.70","77.00","77.00","6.53","74.70","87.00","56.00","87.63","74.57"
"9","96.68","8","y=1.35x+85.92","97.00","94.00","91.00","4.97","90.63","97.00","81.00","101.65","91.71"
