"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","93.05","19","y=0.87x+76.55","79.00","96.00","99.00","7.78","84.37","99.00","67.00","100.83","85.27"
"2","91.25","29","y=0.51x+76.34","87.00","98.00","81.00","9.51","83.54","98.00","62.00","100.76","81.74"
"3","85.81","15","y=1.02x+70.54","92.00","90.00","73.00","7.13","77.67","92.00","66.00","92.94","78.68"
"4","99.66","18","y=1.48x+73.04","92.00","97.00","93.00","8.89","85.61","97.00","66.00","108.55","90.77"
"5","102.46","8","y=3.55x+74.08","99.00","93.00","93.00","8.37","86.50","99.00","71.00","110.83","94.10"
"6","94.62","12","y=1.92x+71.63","97.00","97.00","93.00","8.90","82.17","97.00","73.00","103.52","85.73"
"7","90.95","25","y=0.37x+81.83","91.00","88.00","91.00","4.87","86.21","92.00","73.00","95.83","86.08"
"8","82.73","20","y=0.09x+80.94","91.00","74.00","83.00","8.13","81.79","91.00","52.00","90.86","74.59"
"9","82.13","12","y=1.17x+68.15","82.00","87.00","74.56","6.83","74.56","87.00","60.00","88.96","75.30"
"10","94.70","15","y=1.03x+79.27","91.00","91.00","87.00","6.00","86.47","95.00","74.00","100.69","88.70"
"11","97.84","11","y=2.61x+69.14","100.00","93.00","90.00","9.42","82.18","100.00","71.00","107.25","88.42"
"12","94.89","23","y=1.02x+71.46","95.00","97.00","98.00","8.76","82.67","98.00","70.00","103.65","86.13"
"13","102.00","13","y=1.15x+87.00","99.00","90.00","93.00","7.77","93.92","105.00","77.00","109.77","94.23"
"14","100.20","6","y=4.63x+72.43","96.00","87.00","88.00","8.37","84.00","96.00","69.00","108.57","91.83"
"15","87.80","51","y=0.12x+81.75","97.00","93.00","91.00","5.03","84.72","97.00","66.00","92.83","82.78"
"16","102.86","19","y=1.23x+79.53","97.00","95.00","96.00","8.82","90.58","101.00","73.00","111.68","94.04"
