"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"2","51.00","2","y=-14.00x+79.00","65.00","79.00","0.00","7.00","72.00","79.00","65.00","58.00","44.00"
"3","76.00","2","y=4.00x+68.00","72.00","68.00","0.00","2.00","70.00","72.00","68.00","78.00","74.00"
"4","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"5","75.00","3","y=0.75x+72.75","73.50","75.00","72.00","1.22","73.50","75.00","72.00","76.22","73.78"
"6","76.00","4","y=-2.30x+85.20","77.00","84.00","80.00","3.49","81.75","86.00","77.00","79.49","72.51"
"7","71.00","5","y=-2.60x+84.00","72.00","76.00","83.00","4.26","78.80","83.00","72.00","75.26","66.74"
"8","78.00","8","y=0.50x+74.00","79.00","79.00","77.00","5.56","75.75","85.00","65.00","83.56","72.44"
"9","80.73","6","y=0.40x+78.33","73.00","85.00","87.00","5.34","79.33","87.00","73.00","86.08","75.39"
"10","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"11","80.00","2","y=-1.00x+82.00","81.00","82.00","0.00","0.50","81.50","82.00","81.00","80.50","79.50"
"12","0","1","y=0x+0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
"13","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"14","75.00","3","y=0.00x+75.00","75.00","75.00","75.00","0.00","75.00","75.00","75.00","75.00","75.00"
"15","60.50","4","y=-1.00x+64.50","65.00","61.00","56.00","5.15","63.00","70.00","56.00","65.65","55.35"
"16","0","1","y=0x+0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0"
