"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","87.55","11","y=1.23x+74.05","88.00","85.00","85.00","4.28","80.18","88.00","74.00","91.83","83.26"
"2","84.10","5","y=1.10x+78.60","83.00","83.00","80.00","1.94","80.80","83.00","78.00","86.04","82.16"
"3","96.33","3","y=5.00x+81.33","92.00","85.00","82.00","4.19","86.33","92.00","82.00","100.52","92.14"
"4","99.00","2","y=9.00x+81.00","90.00","81.00","0.00","4.50","85.50","90.00","81.00","103.50","94.50"
"5","92.20","5","y=4.80x+68.20","86.00","82.00","79.00","7.44","77.80","86.00","64.00","99.64","84.76"
"6","93.27","11","y=1.77x+73.77","86.00","89.00","89.00","7.40","82.64","91.00","70.00","100.67","85.87"
"7","83.33","3","y=3.00x+74.33","83.00","72.00","77.00","4.50","77.33","83.00","72.00","87.83","78.84"
"8","81.33","3","y=2.00x+75.33","82.00","72.00","78.00","4.11","77.33","82.00","72.00","85.44","77.22"
"9","82.00","4","y=1.60x+75.60","82.00","79.00","72.00","3.67","78.00","82.00","72.00","85.67","78.33"
"10","78.72","8","y=1.78x+64.49","82.00","78.00","75.00","7.10","70.71","82.00","61.00","85.82","71.62"
"11","86.50","4","y=2.30x+77.30","82.00","86.00","78.00","3.56","80.75","86.00","77.00","90.06","82.94"
"12","93.00","4","y=5.70x+70.20","85.00","84.00","78.00","6.76","78.75","85.00","68.00","99.76","86.24"
"13","91.50","3","y=9.50x+63.00","82.00","72.50","63.00","7.76","72.50","82.00","63.00","99.26","83.74"
