"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","91.06","11","y=1.43x+75.36","82.00","87.00","94.00","6.21","82.50","94.00","71.00","97.28","84.85"
"2","89.12","28","y=0.26x+81.85","79.00","68.00","86.00","7.02","85.36","96.00","68.00","96.14","82.10"
"3","80.00","6","y=1.57x+70.57","76.00","78.00","78.00","3.20","74.50","78.00","69.00","83.20","76.80"
"4","90.09","13","y=0.97x+77.54","92.00","85.00","87.00","4.23","83.33","92.00","78.00","94.32","85.86"
"5","90.08","14","y=0.71x+80.20","83.00","90.00","90.00","6.18","84.79","91.00","74.00","96.25","83.90"
"6","74.58","19","y=0.06x+73.38","81.00","70.00","63.00","7.07","73.94","88.00","56.00","81.65","67.50"
"7","97.61","25","y=0.47x+85.74","93.00","94.00","96.00","6.46","91.44","100.00","75.00","104.07","91.15"
"8","76.00","16","y=-0.70x+87.17","85.00","77.00","52.00","11.05","81.93","98.00","52.00","87.05","64.95"
"9","90.26","15","y=2.19x+57.36","79.00","88.00","87.00","11.58","72.71","88.00","52.00","101.84","78.68"
"10","87.05","16","y=0.31x+82.13","87.00","80.00","89.00","4.92","84.44","90.00","74.00","91.97","82.13"
"11","91.27","10","y=2.30x+68.24","91.00","88.00","85.00","7.07","78.60","91.00","68.00","98.34","84.19"
