"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","39.00","2","y=-19.00x+77.00","58.00","77.00","0.00","9.50","67.50","77.00","58.00","48.50","29.50"
"2","69.00","2","y=-6.00x+81.00","75.00","81.00","0.00","3.00","78.00","81.00","75.00","72.00","66.00"
"3","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"4","66.00","2","y=3.00x+60.00","63.00","60.00","0.00","1.50","61.50","63.00","60.00","67.50","64.50"
"5","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"6","0","0","y=0x+0","0.00","0.00","0.00","0","0","0","0","0","0"
"7","82.86","9","y=1.68x+67.71","84.00","83.00","62.00","8.27","74.44","84.00","62.00","91.14","74.59"
"8","83.50","4","y=2.00x+75.50","80.00","79.00","83.00","4.03","78.50","83.00","72.00","87.53","79.47"
"9","92.00","2","y=6.00x+80.00","86.00","80.00","0.00","3.00","83.00","86.00","80.00","95.00","89.00"
"10","76.20","5","y=0.20x+75.20","73.00","80.00","77.00","2.87","75.60","80.00","72.00","79.07","73.33"
"11","80.33","3","y=-0.50x+81.83","81.00","81.00","82.00","0.47","81.33","82.00","81.00","80.80","79.86"
"12","78.50","5","y=0.70x+75.00","76.00","81.00","75.00","2.42","76.40","81.00","74.00","80.92","76.08"
"13","79.00","3","y=4.00x+67.00","79.00","63.00","71.00","6.53","71.00","79.00","63.00","85.53","72.47"
"14","73.36","9","y=0.18x+71.71","78.00","81.00","62.00","7.17","72.44","82.00","60.00","80.53","66.19"
"15","82.67","6","y=0.00x+82.67","81.00","84.00","82.00","1.80","82.67","86.00","81.00","84.46","80.87"
"16","69.00","2","y=-4.00x+77.00","73.00","77.00","0.00","2.00","75.00","77.00","73.00","71.00","67.00"
