"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","67.28","13","y=-0.06x+68.09","62.00","67.71","67.71","5.76","67.71","77.00","53.00","73.04","61.52"
"2","85.13","22","y=0.39x+76.62","84.00","73.00","84.00","5.07","80.68","92.00","72.00","90.20","80.06"
"3","88.14","26","y=0.43x+76.85","91.00","75.00","87.00","7.63","82.28","94.00","65.00","95.78","80.51"
"4","78.04","21","y=0.48x+68.06","81.00","86.00","74.00","7.25","72.81","88.00","58.00","85.29","70.79"
"5","64.00","11","y=-0.50x+69.50","55.00","74.00","56.00","7.71","67.00","79.00","55.00","71.71","56.29"
"6","86.08","15","y=1.42x+64.81","79.00","86.00","84.00","6.91","74.73","86.00","62.00","92.99","79.16"
"7","76.65","22","y=0.52x+65.20","68.00","70.67","70.67","7.50","70.67","83.00","53.00","84.15","69.15"
"8","85.61","9","y=0.43x+81.71","91.00","75.00","84.00","4.83","83.44","91.00","75.00","90.44","80.78"
"9","97.60","11","y=2.51x+70.00","91.00","88.00","87.00","11.03","82.55","97.00","63.00","108.63","86.57"
"10","68.07","8","y=-1.10x+76.83","74.00","72.00","51.00","9.14","73.00","81.00","51.00","77.21","58.93"
"11","85.98","16","y=0.95x+70.85","88.00","81.00","87.00","7.89","77.94","92.00","62.00","93.86","78.09"
