"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","100.00","5","y=3.00x+85.00","97.00","95.00","89.00","4.38","91.00","97.00","85.00","104.38","95.62"
"2","94.93","8","y=2.51x+74.83","81.00","89.00","88.00","12.19","83.63","93.00","53.00","107.11","82.74"
"3","88.56","11","y=0.93x+78.36","88.00","91.00","85.00","3.98","83.00","91.00","78.00","92.54","84.59"
"4","101.57","7","y=3.82x+74.82","101.00","96.00","85.00","8.34","86.29","101.00","75.00","109.92","93.23"
"5","101.33","3","y=5.00x+86.33","94.00","96.00","84.00","5.25","91.33","96.00","84.00","106.58","96.08"
"6","100.00","5","y=3.60x+82.00","95.00","93.00","92.00","5.31","89.20","95.00","81.00","105.31","94.69"
"7","97.00","3","y=3.00x+88.00","93.00","93.00","87.00","2.83","91.00","93.00","87.00","99.83","94.17"
"8","100.00","4","y=3.20x+87.20","95.00","95.00","93.00","4.12","92.00","95.00","85.00","104.12","95.88"
"9","85.70","5","y=0.90x+81.20","85.00","86.00","79.00","2.45","83.00","86.00","79.00","88.15","83.25"
"10","93.98","8","y=2.09x+77.25","88.00","92.00","84.57","6.04","84.57","94.00","76.00","100.02","87.95"
"11","104.27","6","y=5.17x+73.24","97.00","85.00","98.00","11.65","86.17","98.00","63.00","115.92","92.61"
"12","90.43","7","y=0.79x+84.93","90.00","88.00","92.00","4.92","87.29","92.00","78.00","95.35","85.51"
"13","94.06","9","y=1.43x+81.16","84.00","98.00","93.00","6.56","86.89","98.00","78.00","100.61","87.50"
"14","75.63","10","y=-0.23x+77.92","66.00","76.89","81.00","6.68","76.89","83.00","64.00","82.31","68.94"
