1,,1,,,,,ウインプリメーラ,,牝,5,*,和田竜二,55,  ,2.7,2,446,- 2, ,116,2,,T1600,先,106,|,T1600,－,取消,|,T1600,中,104,|,T1600,中,106,|,T1800,先,101,+,T1600,先,102,|,T1600,先, 99,|,T1800,逃,109,|,T1800,中,112,|,T1600,中, 91,+,T1600,先,102,|,T1600,先,109,|,T1800,中,105,|,T2000,中, 88,+,T1600,先, 95,|,T1600,先, 95,|,T1600,先, 94,|,T1600,中, 87,+,T1600,先, 90,|,T1600,逃, 85,|,T1600,後, 80,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ダイナミックガイ,,牡,5,*,幸英明,57,  ,25.8,6,484,- 6,>,107,5,,T1400,中,100,|,T1200,中, 91,|,T1400,中, 98,|,T1400,中, 90,|,T1600,先, 98,=,T1400,後, 95,=,T1200,後, 97,|,T1200,後, 98,=,T1600,中, 96,+,T1600,後,102,|,T1400,中, 97,|,T1400,中,104,|,T1600,中,105,|,T1600,中,100,|,T1400,中, 97,|,T1800,中, 95,|,T1600,先, 87,+,T1400,中, 96,|,T1800,先, 95,|,T1800,後,100,|,T1800,先, 92,|,T1600,中, 89,|,T1600,中, 88,|,T1400,中, 92,|,T1600,後, 90,|,T1400,先, 86,=,T1400,中, 84,+,T1200,先, 77,|,T1400,先, 76,|,T1400,逃, 89,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,トーセンソレイユ,,牝,5,*,ルメール,55,  ,2.1,1,442,  0, ,121,1,,T1400,中,103,|,T1600,中,101,|,T1600,中,108,+,T1800,中,107,|,T1600,後,107,+,T1400,中,102,|,T1800,先,107,|,T1800,後,108,|,T1600,中,105,|,T1400,後,101,+,T2000,後,105,|,T2000,中,107,|,T1800,中, 94,+,T2400,先, 85,|,T1600,中, 98,|,T1600,後, 95,|,T1800,先, 80,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ボンジュールココロ,,牝,5,*,松山弘平,55,  ,49.6,8,480,+ 4, , 98,6,,T1400,中, 99,|,T1400,中,100,|,T1400,先, 93,|,T1400,中, 95,|,T1400,先,100,|,T1200,後, 95,|,T1400,中, 98,|,T1400,中,100,|,T1400,先,100,|,T1600,中, 95,|,T1200,中, 95,|,T1800,先, 91,|,T1400,中, 99,+,T1200,中, 92,|,T1400,中, 96,|,T1200,中, 93,|,T1200,先, 89,|,T1200,先, 91,|,T1200,逃, 84,|,T1600,先, 82,+,T1200,先, 79,|,D1400,中, 66,|,D1200,中, 73,|,T1400,中, 76,|,T1400,中, 79,|,T1600,先, 77,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,メイケイペガスター,,牡,5,,四位洋文,57,  ,6.1,3,510,+ 2, ,112,3,+,T1400,中,100,|,T1600,後,102,|,T1600,中,107,+,T1600,先,104,|,T1400,中,110,|,T1600,後,106,+,D1400,中,105,|,T1600,中, 91,|,T1600,先,112,+,T2400,先,109,|,T2000,後,103,|,T2000,先, 86,|,T1800,先,101,|,T2000,後, 95,+,T1600,中, 86,|,T1600,後, 82,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,カバーストーリー,,牡,4,,浜中俊,57,  ,8.5,4,476,- 2,>,112,3,,T1600,先,100,|,T1600,後, 94,|,T2000,先, 95,|,T2000,先, 99,|,T2000,中, 99,+,T1800,後, 87,|,T2000,後, 93,|,T1800,後, 92,|,T1600,先, 89,|,T1800,後, 86,|,T1600,後, 86,|,T2000,中, 94,|,T2200,後, 89,+,T2000,後, 87,|,T1800,後, 86,|,T1800,後, 81,|,T1600,後, 71,|,T1600,中, 79,|,T1400,中, 80,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,エルカミーノレアル,,牡,4,*,岩田康誠,57,  ,16.8,5,484,- 2, , 94,8,,T2200,逃, 85,|,T2000,先,102,|,T1800,逃, 99,|,T1200,後, 98,+,D1400,後, 85,|,D1400,後, 97,|,T1200,先, 92,|,T1200,中, 98,|,T1200,後, 90,|,D1400,先, 91,|,T1400,後, 90,|,T1600,先, 80,|,T1200,中, 86,|,T1200,先, 79,+,T1200,逃, 57,|,T1600,先, 72,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,アドマイヤビジン,,牝,4,,小牧太,55,  ,34.1,7,492,+ 2, , 95,7,,T1200,後, 98,|,T1400,後, 93,+,T1600,後,102,|,T2000,中, 91,|,T1800,先,100,+,T1600,後, 93,|,T1600,後,102,|,T1400,中, 93,|,T1400,中, 91,|,T1600,後, 88,|,T1600,後, 82,|,T1400,後, 91,+,T1200,中, 81,|,T1200,先, 78,|,T1600,逃, 71,|,T1200,先, 80,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
