"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","95.15","15","y=0.89x+81.87","84.00","83.00","97.00","8.64","88.07","100.00","67.00","103.79","86.52"
"2","101.92","18","y=1.12x+81.76","101.00","97.00","96.00","7.23","91.28","101.00","78.00","109.15","94.68"
"3","102.07","21","y=1.18x+77.30","104.00","102.00","102.00","7.67","89.10","104.00","73.00","109.74","94.40"
"4","96.44","11","y=2.07x+73.64","86.00","101.00","95.00","9.10","84.00","101.00","67.00","105.53","87.34"
"5","108.47","31","y=1.29x+68.49","99.00","104.00","100.00","13.26","87.83","106.00","52.00","121.73","95.21"
"6","95.13","20","y=1.11x+72.92","87.00","97.00","98.00","9.07","83.47","98.00","59.00","104.21","86.06"
"7","103.71","53","y=0.36x+84.69","97.00","95.00","100.00","9.35","94.02","108.00","63.00","113.06","94.36"
"8","100.02","8","y=-0.14x+101.17","96.00","104.00","102.00","2.08","100.67","104.00","96.00","102.11","97.94"
"9","91.04","17","y=0.75x+78.29","103.00","67.00","94.00","9.47","84.29","103.00","67.00","100.51","81.58"
"10","98.17","24","y=0.10x+95.68","87.00","102.00","90.00","4.67","96.88","104.00","87.00","102.84","93.51"
"11","97.18","41","y=0.19x+89.36","97.00","99.00","93.00","6.34","93.18","104.00","75.00","103.52","90.84"
"12","97.76","26","y=0.43x+86.59","93.00","100.00","92.00","7.05","91.96","100.00","74.00","104.80","90.71"
"13","103.03","21","y=0.68x+88.66","103.00","103.00","102.00","7.56","95.50","104.00","74.00","110.58","95.47"
"14","104.73","34","y=0.95x+72.46","97.00","99.00","99.00","11.78","88.12","99.00","51.00","116.51","92.94"
"15","98.06","34","y=0.49x+81.54","99.00","98.00","100.00","7.34","89.56","103.00","71.00","105.40","90.72"
"16","99.93","41","y=0.47x+80.59","94.00","103.00","88.00","7.56","90.02","103.00","71.00","107.49","92.37"
