"num","y","available","regressionEquation","last_y","last2_y","last3_y","standard_deviation","mean_y","max_y","min_y","y_plus_standard_deviation","y_minus_standard_deviation"
"1","116.46","36","y=0.57x+95.84","114.00","114.00","115.00","8.88","105.86","116.00","80.00","125.34","107.58"
"2","113.70","27","y=1.24x+80.21","64.00","104.00","120.00","15.52","96.33","120.00","64.00","129.22","98.18"
"3","121.96","21","y=1.12x+98.40","116.00","99.00","114.00","10.33","109.62","121.00","82.00","132.30","111.63"
"4","120.44","27","y=1.71x+74.30","110.00","99.00","114.00","14.34","96.52","120.00","70.00","134.78","106.10"
"5","119.34","29","y=1.24x+83.41","119.00","113.00","116.00","11.76","100.76","119.00","77.00","131.10","107.58"
"6","120.19","9","y=4.95x+75.64","117.00","108.00","105.00","12.96","95.44","117.00","78.00","133.16","107.23"
"7","117.81","20","y=1.16x+94.56","111.00","110.00","118.00","9.20","105.60","118.00","80.00","127.01","108.61"
"8","109.66","40","y=0.61x+85.45","110.00","101.00","95.00","8.64","97.25","113.00","76.00","118.30","101.02"
"9","127.22","17","y=1.83x+96.14","118.00","114.00","115.00","11.94","110.76","123.00","80.00","139.16","115.28"
"10","120.20","10","y=4.76x+72.56","117.00","114.00","101.00","14.38","94.00","117.00","75.00","134.58","105.82"
"11","114.29","17","y=1.90x+81.96","108.00","101.00","99.00","12.12","97.18","114.00","73.00","126.42","102.17"
"12","112.41","22","y=1.27x+84.56","111.00","111.00","91.00","10.06","97.85","111.00","75.00","122.48","102.35"
